<X>                    <Y>
1.450000000000000e-03  1.257156367209347e+04
1.550000000000000e-03  1.219322286411706e+04
1.650000000000000e-03  1.180083174022050e+04
1.750000000000000e-03  1.139622967130242e+04
1.850000000000000e-03  1.098127924651298e+04
1.950000000000000e-03  1.055785323753620e+04
2.050000000000000e-03  1.012782173763118e+04
2.150000000000000e-03  9.693039589082169e+03
2.250000000000000e-03  9.255334207813796e+03
2.350000000000000e-03  8.816493907912720e+03
2.450000000000000e-03  8.378256821753012e+03
2.550000000000000e-03  7.942300503448519e+03
2.650000000000000e-03  7.510232294564938e+03
2.750000000000000e-03  7.083580521534754e+03
2.850000000000000e-03  6.663786584158612e+03
2.950000000000000e-03  6.252197984077174e+03
3.050000000000000e-03  5.850062331293364e+03
3.150000000000000e-03  5.458522355852229e+03
3.250000000000000e-03  5.078611940779248e+03
3.350000000000000e-03  4.711253181471169e+03
3.450000000000000e-03  4.357254466054493e+03
3.550000000000000e-03  4.017309560898540e+03
3.650000000000000e-03  3.691997675607950e+03
3.750000000000000e-03  3.381784472529801e+03
3.850000000000000e-03  3.087023977190014e+03
3.950000000000000e-03  2.807961338207479e+03
4.050000000000000e-03  2.544736378195855e+03
4.150000000000000e-03  2.297387871012916e+03
4.250000000000000e-03  2.065858475503095e+03
4.350000000000000e-03  1.850000251634421e+03
4.450000000000000e-03  1.649580681676994e+03
4.550000000000000e-03  1.464289116813219e+03
4.650000000000000e-03  1.293743568304145e+03
4.750000000000000e-03  1.137497762042596e+03
4.850000000000000e-03  9.950483759712270e+02
4.950000000000000e-03  8.658423813902872e+02
5.050000000000000e-03  7.492844115729675e+02
5.150000000000000e-03  6.447440842844243e+02
5.250000000000000e-03  5.515632086938460e+02
5.350000000000000e-03  4.690628117008370e+02
5.450000000000000e-03  3.965499237858411e+02
5.550000000000000e-03  3.333240700529690e+02
5.650000000000000e-03  2.786834180732674e+02
5.750000000000000e-03  2.319305403666412e+02
5.850000000000000e-03  1.923777557904297e+02
5.950000000000000e-03  1.593520206423546e+02
6.050000000000000e-03  1.321993468478650e+02
6.150000000000000e-03  1.102887311028218e+02
6.250000000000000e-03  9.301558520255119e+01
6.350000000000000e-03  7.980466393352775e+01
