<X>                    <Y>
2.000000000000000e-03  4.539228896270102e+02
2.009023600000000e-03  4.507159222616119e+02
2.018087800000000e-03  4.475028875690117e+02
2.027193000000000e-03  4.442839202986789e+02
2.036339300000000e-03  4.410592654821397e+02
2.045526800000000e-03  4.378291716566885e+02
2.054755700000000e-03  4.345938558378178e+02
2.064026300000000e-03  4.313535040172962e+02
2.073338800000000e-03  4.281083412807479e+02
2.082693200000000e-03  4.248586659645537e+02
2.092089900000000e-03  4.216046410940971e+02
2.101528900000000e-03  4.183465722805165e+02
2.111010600000000e-03  4.150846306839833e+02
2.120535000000000e-03  4.118191291269565e+02
2.130102400000000e-03  4.085502809752519e+02
2.139712900000000e-03  4.052783718317037e+02
2.149366800000000e-03  4.020036228555259e+02
2.159064300000000e-03  3.987262931840515e+02
2.168805500000000e-03  3.954466792848635e+02
2.178590700000000e-03  3.921650138583786e+02
2.188420000000000e-03  3.888816004739583e+02
2.198293700000000e-03  3.855966793958888e+02
2.208211900000000e-03  3.823105611623157e+02
2.218174900000000e-03  3.790234934768683e+02
2.228182800000000e-03  3.757357936941080e+02
2.238235900000000e-03  3.724477168127249e+02
2.248334300000000e-03  3.691595868312764e+02
2.258478300000000e-03  3.658716658787929e+02
2.268668000000000e-03  3.625842844046985e+02
2.278903800000000e-03  3.592976794507385e+02
2.289185700000000e-03  3.560122200469477e+02
2.299514000000000e-03  3.527281820104181e+02
2.309888900000000e-03  3.494458764769632e+02
2.320310600000000e-03  3.461656176527509e+02
2.330779300000000e-03  3.428877227488423e+02
2.341295300000000e-03  3.396124808511881e+02
2.351858700000000e-03  3.363402463727992e+02
2.362469800000000e-03  3.330713144028948e+02
2.373128700000000e-03  3.298060445331486e+02
2.383835800000000e-03  3.265447071834956e+02
2.394591100000000e-03  3.232876975212456e+02
2.405395000000000e-03  3.200352917071345e+02
2.416247600000000e-03  3.167878592269823e+02
2.427149200000000e-03  3.135457118399792e+02
2.438099900000000e-03  3.103092231703185e+02
2.449100100000000e-03  3.070786803780132e+02
2.460149900000000e-03  3.038544613902282e+02
2.471249600000000e-03  3.006368874955851e+02
2.482399300000000e-03  2.974263399465492e+02
2.493599300000000e-03  2.942231438995699e+02
2.504849900000000e-03  2.910276268667016e+02
2.516151200000000e-03  2.878401748244025e+02
2.527503600000000e-03  2.846610905801931e+02
2.538907100000000e-03  2.814907905752268e+02
2.550362100000000e-03  2.783295807342397e+02
2.561868800000000e-03  2.751778241601828e+02
2.573427300000000e-03  2.720359118679514e+02
2.585038100000000e-03  2.689041272541848e+02
2.596701200000000e-03  2.657828900818628e+02
2.608417000000000e-03  2.626725130636289e+02
2.620185600000000e-03  2.595733895727520e+02
2.632007300000000e-03  2.564858602219265e+02
2.643882300000000e-03  2.534102922496571e+02
2.655810900000000e-03  2.503470271363421e+02
2.667793300000000e-03  2.472964322476000e+02
2.679829800000000e-03  2.442588493184519e+02
2.691920600000000e-03  2.412346452089230e+02
2.704066000000000e-03  2.382241612686704e+02
2.716266200000000e-03  2.352277631930814e+02
2.728521300000000e-03  2.322458397155237e+02
2.740831800000000e-03  2.292786813387675e+02
2.753197900000000e-03  2.263266510601026e+02
2.765619700000000e-03  2.233901336869687e+02
2.778097600000000e-03  2.204694413193880e+02
2.790631700000000e-03  2.175649550011271e+02
2.803222400000000e-03  2.146769840933910e+02
2.815870000000000e-03  2.118058599516275e+02
2.828574600000000e-03  2.089519569021899e+02
2.841336500000000e-03  2.061156012391587e+02
2.854155900000000e-03  2.032971390071533e+02
2.867033300000000e-03  2.004968480998513e+02
2.879968700000000e-03  1.977151127463267e+02
2.892962500000000e-03  1.949522269934247e+02
2.906014900000000e-03  1.922085247314942e+02
2.919126200000000e-03  1.894843150930700e+02
2.932296600000000e-03  1.867799242821967e+02
2.945526500000000e-03  1.840956336394391e+02
2.958816100000000e-03  1.814317615644170e+02
2.972165600000000e-03  1.787886214982931e+02
2.985575400000000e-03  1.761664828421953e+02
2.999045600000000e-03  1.735656691232669e+02
3.012576700000000e-03  1.709864215141644e+02
3.026168800000000e-03  1.684290530769590e+02
3.039822200000000e-03  1.658938329409635e+02
3.053537200000000e-03  1.633810249448099e+02
3.067314100000000e-03  1.608908874157912e+02
3.081153100000000e-03  1.584236906532840e+02
3.095054600000000e-03  1.559796631002987e+02
3.109018800000000e-03  1.535590624343295e+02
3.123046000000000e-03  1.511621219864045e+02
3.137136500000000e-03  1.487890684723058e+02
3.151290600000000e-03  1.464401217730613e+02
3.165508500000000e-03  1.441155109436192e+02
3.179790600000000e-03  1.418154248234979e+02
3.194137100000000e-03  1.395400772218939e+02
3.208548300000000e-03  1.372896577772846e+02
3.223024600000000e-03  1.350643329675085e+02
3.237566200000000e-03  1.328642921372468e+02
3.252173400000000e-03  1.306897005660892e+02
3.266846500000000e-03  1.285407150018209e+02
3.281585800000000e-03  1.264174834588813e+02
3.296391600000000e-03  1.243201450201436e+02
3.311264200000000e-03  1.222488296423121e+02
3.326203800000000e-03  1.202036715364395e+02
3.341210900000000e-03  1.181847544608605e+02
3.356285800000000e-03  1.161921805745299e+02
3.371428600000000e-03  1.142260679014597e+02
3.386639700000000e-03  1.122864846614644e+02
3.401919500000000e-03  1.103734898046963e+02
3.417268200000000e-03  1.084871571881483e+02
3.432686200000000e-03  1.066275253383258e+02
3.448173700000000e-03  1.047946464664153e+02
3.463731100000000e-03  1.029885380773757e+02
3.479358700000000e-03  1.012092189037008e+02
3.495056800000000e-03  9.945669660318485e+01
3.510825700000000e-03  9.773096764005393e+01
3.526665800000000e-03  9.603200655701417e+01
3.542577300000000e-03  9.435979815574227e+01
3.558560700000000e-03  9.271428430713806e+01
3.574616100000000e-03  9.109543689854097e+01
3.590744000000000e-03  8.950317538765712e+01
3.606944600000000e-03  8.793743784967880e+01
3.623218400000000e-03  8.639812166747033e+01
3.639565600000000e-03  8.488514147239349e+01
3.655986500000000e-03  8.339839024623934e+01
3.672481500000000e-03  8.193774031090717e+01
3.689050900000000e-03  8.050306141669122e+01
3.705695100000000e-03  7.909420301788077e+01
3.722414400000000e-03  7.771101159350246e+01
3.739209100000000e-03  7.635332171819007e+01
3.756079600000000e-03  7.502094829472632e+01
3.773026200000000e-03  7.371370276313688e+01
3.790049300000000e-03  7.243137735296170e+01
3.807149100000000e-03  7.117376784472597e+01
3.824326100000000e-03  6.994063643107064e+01
3.841580700000000e-03  6.873174210378819e+01
3.858913000000000e-03  6.754685337899741e+01
3.876323600000000e-03  6.638569322406443e+01
3.893812700000000e-03  6.524800114805599e+01
3.911380700000000e-03  6.413349249638453e+01
3.929028000000000e-03  6.304187244135357e+01
3.946754900000000e-03  6.197284209970574e+01
3.964561800000000e-03  6.092608635099451e+01
3.982449100000000e-03  5.990128045535249e+01
4.000417000000000e-03  5.889810128470019e+01
4.018466000000000e-03  5.791619928350092e+01
4.036596400000000e-03  5.695522700247878e+01
4.054808700000000e-03  5.601481758527595e+01
4.073103100000000e-03  5.509461121189618e+01
4.091480000000000e-03  5.419422924271625e+01
4.109939900000000e-03  5.331328054967159e+01
4.128483000000000e-03  5.245138079409860e+01
4.147109800000000e-03  5.160812412964064e+01
4.165820700000000e-03  5.078310276193899e+01
4.184616000000000e-03  4.997590671367234e+01
4.203496000000000e-03  4.918611952338637e+01
4.222461300000000e-03  4.841330660314722e+01
4.241512100000000e-03  4.765704465733093e+01
4.260648900000000e-03  4.691689330637663e+01
4.279872000000000e-03  4.619241564541350e+01
4.299181800000000e-03  4.548316683960629e+01
4.318578800000000e-03  4.478869507137245e+01
4.338063300000000e-03  4.410855279477077e+01
4.357635600000000e-03  4.344228961626212e+01
4.377296300000000e-03  4.278944298284554e+01
4.397045700000000e-03  4.214955911091363e+01
4.416884200000000e-03  4.152217980589489e+01
4.436812300000000e-03  4.090684338709342e+01
4.456830200000000e-03  4.030309750267046e+01
4.476938400000000e-03  3.971048115478504e+01
4.497137400000000e-03  3.912853482883175e+01
4.517427500000000e-03  3.855680660263543e+01
4.537809100000000e-03  3.799484391325905e+01
4.558282700000000e-03  3.744219444210872e+01
4.578848700000000e-03  3.689841219940309e+01
4.599507400000000e-03  3.636305782559936e+01
4.620259400000000e-03  3.583568886606445e+01
4.641105000000000e-03  3.531587590528046e+01
4.662044600000000e-03  3.480319274165927e+01
4.683078800000000e-03  3.429721482530809e+01
4.704207800000000e-03  3.379753431380387e+01
4.725432100000000e-03  3.330374371252871e+01
4.746752200000000e-03  3.281544384748911e+01
4.768168500000000e-03  3.233224666264964e+01
4.789681500000000e-03  3.185377119980446e+01
4.811291500000000e-03  3.137965084940939e+01
4.832999000000000e-03  3.090952500755555e+01
4.854804400000000e-03  3.044304627793727e+01
4.876708200000000e-03  2.997987666669049e+01
4.898710800000000e-03  2.951969237967424e+01
4.920812700000000e-03  2.906218009498270e+01
4.943014400000000e-03  2.860703959640991e+01
4.965316200000000e-03  2.815398828490935e+01
4.987718600000000e-03  2.770275343831523e+01
5.010222100000000e-03  2.725307680271774e+01
5.032827100000000e-03  2.680471698005113e+01
5.055534100000000e-03  2.635744582624230e+01
5.078343600000000e-03  2.591105084161521e+01
5.101255900000000e-03  2.546533939472059e+01
5.124271700000000e-03  2.502012736172239e+01
5.147391300000000e-03  2.457525498553500e+01
5.170615200000000e-03  2.413057548307263e+01
5.193943800000000e-03  2.368596108480919e+01
5.217377800000000e-03  2.324129562604831e+01
5.240917400000000e-03  2.279648992762971e+01
5.264563300000000e-03  2.235146296211350e+01
5.288315800000000e-03  2.190615899034535e+01
5.312175600000000e-03  2.146053257683562e+01
5.336142900000000e-03  2.101456548342213e+01
5.360218400000000e-03  2.056824799238609e+01
5.384402600000000e-03  2.012159194612927e+01
5.408695800000000e-03  1.967463060150751e+01
5.433098700000000e-03  1.922740746752851e+01
5.457611600000000e-03  1.877999086736962e+01
5.482235100000000e-03  1.833246089477998e+01
5.506969800000000e-03  1.788491470880067e+01
5.531816000000000e-03  1.743747164709329e+01
5.556774400000000e-03  1.699026025977446e+01
5.581845300000000e-03  1.654343234956619e+01
5.607029400000000e-03  1.609714823280461e+01
5.632327000000000e-03  1.565159054532907e+01
5.657738900000000e-03  1.520694783325418e+01
5.683265300000000e-03  1.476343336241098e+01
5.708907000000000e-03  1.432126355102215e+01
5.734664300000000e-03  1.388067649368464e+01
5.760537900000000e-03  1.344191575675509e+01
5.786528100000000e-03  1.300524336118460e+01
5.812635700000000e-03  1.257092382887616e+01
5.838861000000000e-03  1.213924020901759e+01
5.865204700000000e-03  1.171047825946446e+01
5.891667200000000e-03  1.128493716613169e+01
5.918249100000000e-03  1.086292048250860e+01
5.944950900000000e-03  1.044474009187980e+01
5.971773300000000e-03  1.003071056305647e+01
5.998716600000000e-03  9.621157466776145e+00
6.025781500000000e-03  9.216404033340334e+00
6.052968500000000e-03  8.816779372260996e+00
6.080278100000000e-03  8.422614317816945e+00
6.107711000000000e-03  8.034237562168114e+00
6.135267700000000e-03  7.651980355966527e+00
6.162948600000000e-03  7.276173790903726e+00
6.190754500000000e-03  6.907140981794103e+00
6.218685800000000e-03  6.545206819908686e+00
6.246743200000000e-03  6.190687498368177e+00
6.274927100000000e-03  5.843897169458550e+00
6.303238200000000e-03  5.505139253688210e+00
6.331677000000000e-03  5.174711568427004e+00
6.360244200000000e-03  4.852900449098611e+00
6.388940200000000e-03  4.539985385346320e+00
6.417765700000000e-03  4.236231195215708e+00
6.446721200000000e-03  3.941892519320537e+00
6.475807400000000e-03  3.657208585142393e+00
6.505024800000000e-03  3.382406277642098e+00
6.534374100000000e-03  3.117695262348613e+00
6.563855700000000e-03  2.863271662591548e+00
6.593470400000000e-03  2.619310955254873e+00
6.623218700000000e-03  2.385973264139341e+00
6.653101200000000e-03  2.163399070806572e+00
6.683118500000000e-03  1.951709350022814e+00
6.713271300000000e-03  1.751004231271832e+00
6.743560100000000e-03  1.561364380704335e+00
6.773985600000000e-03  1.382847765049797e+00
6.804548300000000e-03  1.215491648048677e+00
6.835248900000000e-03  1.059309802713004e+00
6.866088100000000e-03  9.142934311107829e-01
6.897066400000000e-03  7.804116917400823e-01
6.928184400000000e-03  6.576099747018487e-01
6.959442800000000e-03  5.458099510804897e-01
6.990842300000000e-03  4.449099982896801e-01
7.022383500000000e-03  3.547854861217244e-01
7.054066900000000e-03  2.752887061408194e-01
7.085893300000000e-03  2.062480982396263e-01
7.117863300000000e-03  1.474698698148532e-01
7.149977500000000e-03  9.873775884740621e-02
7.182236700000000e-03  5.981328121312973e-02
7.214641300000000e-03  3.043702798104245e-02
7.247192200000000e-03  1.032828121063202e-02
7.279890000000000e-03  -8.133989312298882e-04
7.312735200000000e-03  -3.307781515489069e-03
7.345728700000000e-03  2.506951558838415e-03
7.378871000000000e-03  1.627523205227641e-02
7.412162800000000e-03  3.762512916324401e-02
7.445604900000000e-03  6.616960174530220e-02
7.479197800000000e-03  1.015073239077879e-01
7.512942300000000e-03  1.432244570179209e-01
7.546839100000000e-03  1.908956510794728e-01
7.580888700000000e-03  2.440851766285554e-01
7.615092000000000e-03  3.023492920427449e-01
7.649449700000000e-03  3.652368689051814e-01
7.683962300000000e-03  4.322907932192130e-01
7.718630600000000e-03  5.030504912324593e-01
7.753455400000000e-03  5.770530309903161e-01
7.788437300000000e-03  6.538342952032329e-01
7.823577000000000e-03  7.329312511449060e-01
7.858875300000000e-03  8.138836439034824e-01
7.894332800000001e-03  8.962349730450349e-01
7.929950300000000e-03  9.795350678849457e-01
7.965728500000000e-03  1.063341044208490e+00
8.001668100000000e-03  1.147219160113882e+00
8.037769900000000e-03  1.230746645642413e+00
8.074034500000001e-03  1.313512568021963e+00
8.110462800000001e-03  1.395120493454690e+00
8.147055400000000e-03  1.475188579988428e+00
8.183813099999999e-03  1.553352105945165e+00
8.220736700000000e-03  1.629264332456767e+00
8.257826899999999e-03  1.702597555619986e+00
8.295084400000000e-03  1.773044497210583e+00
8.332510000000000e-03  1.840319555549201e+00
8.370104400000000e-03  1.904159400793801e+00
8.407868500000000e-03  1.964324354123511e+00
8.445802900000000e-03  2.020598318751716e+00
8.483908500000000e-03  2.072790370598983e+00
8.522186100000001e-03  2.120734621476763e+00
8.560636300000000e-03  2.164290553895669e+00
8.599259999999999e-03  2.203343872172444e+00
8.638058000000001e-03  2.237806108438421e+00
8.677031000000000e-03  2.267614666231233e+00
8.716179900000001e-03  2.292732900817394e+00
8.755505300000001e-03  2.313149473052067e+00
8.795008300000001e-03  2.328878368645197e+00
8.834689400000000e-03  2.339957786126678e+00
8.874549600000000e-03  2.346449899126992e+00
8.914589600000000e-03  2.348439733487883e+00
8.954810299999999e-03  2.346034310415174e+00
8.995212400000001e-03  2.339361532649325e+00
9.035796800000001e-03  2.328568949626492e+00
9.076564400000001e-03  2.313822416776480e+00
9.117515800000000e-03  2.295304820697354e+00
9.158652000000000e-03  2.273214278676042e+00
9.199973900000000e-03  2.247762689840161e+00
9.241482100000000e-03  2.219174237993733e+00
9.283177700000001e-03  2.187683109199718e+00
9.325061300000000e-03  2.153532370874183e+00
9.367133999999999e-03  2.116971372181545e+00
9.409396400000001e-03  2.078254678116402e+00
9.451849500000000e-03  2.037639408178067e+00
9.494494200000000e-03  1.995383765132706e+00
9.537331300000000e-03  1.951745172286870e+00
9.580361600000000e-03  1.906978321930716e+00
9.623586100000000e-03  1.861333140832882e+00
9.667005600000000e-03  1.815053443012117e+00
9.710620999999999e-03  1.768374921827658e+00
9.754433200000001e-03  1.721523641107471e+00
9.798443100000000e-03  1.674714518522343e+00
9.842651500000001e-03  1.628150021846549e+00
9.887059400000000e-03  1.582018563733631e+00
9.931667599999999e-03  1.536493766346247e+00
9.976477100000001e-03  1.491733033628116e+00
1.002148900000000e-02  1.447876809539357e+00
1.006670400000000e-02  1.405048360998990e+00
1.011212200000000e-02  1.363353550099853e+00
1.015774600000000e-02  1.322876947355550e+00
1.020357500000000e-02  1.283688100714335e+00
1.024961200000000e-02  1.245834444680396e+00
1.029585600000000e-02  1.209348319847077e+00
1.034230800000000e-02  1.174242238359052e+00
1.038897100000000e-02  1.140509758980968e+00
1.043584300000000e-02  1.108131249236624e+00
1.048292800000000e-02  1.077066898576493e+00
1.053022400000000e-02  1.047266064469214e+00
1.057773400000000e-02  1.018661135551699e+00
1.062545900000000e-02  9.911735032169398e-01
1.067339800000000e-02  9.647147624146697e-01
1.072155400000000e-02  9.391849693332254e-01
1.076992800000000e-02  9.144777474243928e-01
1.081851900000000e-02  8.904818460820114e-01
1.086733000000000e-02  8.670799973655623e-01
1.091636100000000e-02  8.441542858785507e-01
1.096561300000000e-02  8.215860516507623e-01
1.101508800000000e-02  7.992578366467753e-01
1.106478500000000e-02  7.770570552940439e-01
1.111470700000000e-02  7.548746761001697e-01
1.116485400000000e-02  7.326101262188007e-01
