<X>                    <Y>
1.550000000000000e-03  1.195090315246165e+04
1.650000000000000e-03  1.157980226020022e+04
1.750000000000000e-03  1.119649734285475e+04
1.850000000000000e-03  1.080267598673885e+04
1.950000000000000e-03  1.040004215787955e+04
2.050000000000000e-03  9.990305148895874e+03
2.150000000000000e-03  9.575168682763288e+03
2.250000000000000e-03  9.156320261704233e+03
2.350000000000000e-03  8.735420845871164e+03
2.450000000000000e-03  8.314094942121821e+03
2.550000000000000e-03  7.893921178085190e+03
2.650000000000000e-03  7.476423430944010e+03
2.750000000000000e-03  7.063062573987293e+03
2.850000000000000e-03  6.655228897091535e+03
2.950000000000000e-03  6.254235249953005e+03
3.050000000000000e-03  5.861310949201832e+03
3.150000000000000e-03  5.477596482570007e+03
3.250000000000000e-03  5.104139035149030e+03
3.350000000000000e-03  4.741888854550018e+03
3.450000000000000e-03  4.391696463558951e+03
3.550000000000000e-03  4.054310720750931e+03
3.650000000000000e-03  3.730377721575313e+03
3.750000000000000e-03  3.420440524730445e+03
3.850000000000000e-03  3.124939681289989e+03
3.950000000000000e-03  2.844214537094314e+03
4.050000000000000e-03  2.578505272446468e+03
4.150000000000000e-03  2.327955637211573e+03
4.250000000000000e-03  2.092616334063184e+03
4.350000000000000e-03  1.872448997893755e+03
4.450000000000000e-03  1.667330715344829e+03
4.550000000000000e-03  1.477059025042954e+03
4.650000000000000e-03  1.301357336467958e+03
4.750000000000000e-03  1.139880703441512e+03
4.850000000000000e-03  9.922218870066345e+02
4.950000000000000e-03  8.579176419662654e+02
5.050000000000000e-03  7.364551615459625e+02
5.150000000000000e-03  6.272786155192922e+02
5.250000000000000e-03  5.297957186545406e+02
5.350000000000000e-03  4.433842684710100e+02
5.450000000000000e-03  3.673985939897893e+02
5.550000000000000e-03  3.011758603789416e+02
5.650000000000000e-03  2.440421780738520e+02
5.750000000000000e-03  1.953184690432156e+02
5.850000000000000e-03  1.543260473099653e+02
5.950000000000000e-03  1.203918755623167e+02
6.050000000000000e-03  9.285346463961091e+01
6.150000000000000e-03  7.106338778667755e+01
6.250000000000000e-03  5.439338677525910e+01
6.350000000000000e-03  4.223805222881378e+01
6.450000000000000e-03  3.401806569674017e+01
6.550000000000000e-03  2.918299614715937e+01
6.650000000000000e-03  2.721364852841257e+01
6.750000000000000e-03  2.762396683663843e+01
6.850000000000000e-03  2.996249867266881e+01
6.950000000000000e-03  3.381343253318946e+01
7.050000000000000e-03  3.879722302088633e+01
7.150000000000000e-03  4.457082274371000e+01
7.250000000000000e-03  5.082754287761218e+01
7.350000000000000e-03  5.729656716899770e+01
7.450000000000000e-03  6.374214653735471e+01
7.550000000000000e-03  6.996250339546435e+01
7.650000000000000e-03  7.578847633032071e+01
7.750000000000000e-03  8.108193688396254e+01
7.849999999999999e-03  8.573401084665748e+01
7.950000000000000e-03  8.966313673707236e+01
8.050000000000000e-03  9.281299401162072e+01
8.149999999999999e-03  9.515033303873905e+01
8.250000000000000e-03  9.666273801781453e+01
8.350000000000000e-03  9.735635284460831e+01
8.449999999999999e-03  9.725359845581994e+01
8.550000000000000e-03  9.639090845776462e+01
8.650000000000000e-03  9.481650789257823e+01
8.750000000000001e-03  9.258825785577253e+01
8.850000000000000e-03  8.977158638787071e+01
8.950000000000000e-03  8.643752365701545e+01
9.050000000000001e-03  8.266085696528690e+01
9.150000000000000e-03  7.851841858468158e+01
9.250000000000000e-03  7.408751689371944e+01
9.350000000000001e-03  6.944451877533584e+01
9.450000000000000e-03  6.466358878189665e+01
9.549999999999999e-03  5.981558820242937e+01
9.650000000000001e-03  5.496713490643428e+01
9.750000000000000e-03  5.017982271109084e+01
9.849999999999999e-03  4.550959704446716e+01
9.950000000000001e-03  4.100628187351449e+01
1.005000000000000e-02  3.671325124602822e+01
1.015000000000000e-02  3.266723737098560e+01
1.025000000000000e-02  2.889826593913038e+01
1.035000000000000e-02  2.542970836958870e+01
1.045000000000000e-02  2.227843985985605e+01
1.055000000000000e-02  1.945509151395781e+01
1.065000000000000e-02  1.696438442247267e+01
1.075000000000000e-02  1.480553336141607e+01
1.085000000000000e-02  1.297270775539498e+01
1.095000000000000e-02  1.145553770259888e+01
1.105000000000000e-02  1.023965317195004e+01
1.115000000000000e-02  9.307244941456776e+00
1.125000000000000e-02  8.637636435651215e+00
1.135000000000000e-02  8.207856322194949e+00
1.145000000000000e-02  7.993202525916163e+00
1.155000000000000e-02  7.967789194987358e+00
1.165000000000000e-02  8.105069090883452e+00
1.175000000000000e-02  8.378324853599574e+00
1.185000000000000e-02  8.761123599224279e+00
1.195000000000000e-02  9.227730321899571e+00
1.205000000000000e-02  9.753476580871046e+00
1.215000000000000e-02  1.031508194121361e+01
1.225000000000000e-02  1.089092659059427e+01
1.235000000000000e-02  1.146127446212867e+01
1.245000000000000e-02  1.200844704446288e+01
1.255000000000000e-02  1.251694884564459e+01
1.265000000000000e-02  1.297354618967468e+01
1.275000000000000e-02  1.336730165796800e+01
1.285000000000000e-02  1.368956703799432e+01
1.295000000000000e-02  1.393393810535866e+01
1.305000000000000e-02  1.409617494225030e+01
1.315000000000000e-02  1.417409178470605e+01
1.325000000000000e-02  1.416742059499718e+01
1.335000000000000e-02  1.407765267639107e+01
1.345000000000000e-02  1.390786268941075e+01
1.355000000000000e-02  1.366251939634914e+01
1.365000000000000e-02  1.334728735987911e+01
1.375000000000000e-02  1.296882365852931e+01
1.385000000000000e-02  1.253457346352879e+01
1.395000000000000e-02  1.205256805544122e+01
1.405000000000000e-02  1.153122855276731e+01
1.415000000000000e-02  1.097917828608535e+01
1.425000000000000e-02  1.040506638812393e+01
1.435000000000000e-02  9.817404790093947e+00
1.445000000000000e-02  9.224420425091461e+00
1.455000000000000e-02  8.633924047518020e+00
1.465000000000000e-02  8.053196689915891e+00
1.475000000000000e-02  7.488894401532217e+00
1.485000000000000e-02  6.946971551876495e+00
1.495000000000000e-02  6.432622642449409e+00
1.505000000000000e-02  5.950242254953885e+00
1.515000000000000e-02  5.503402478201459e+00
1.525000000000000e-02  5.094846901433482e+00
1.535000000000000e-02  4.726500041003789e+00
1.545000000000000e-02  4.399490881728419e+00
1.555000000000000e-02  4.114189064423229e+00
1.565000000000000e-02  3.870252137296414e+00
1.575000000000000e-02  3.666682210400348e+00
1.585000000000000e-02  3.501890308175546e+00
1.595000000000000e-02  3.373766703628279e+00
1.605000000000000e-02  3.279755536815621e+00
1.615000000000000e-02  3.216932067624954e+00
1.625000000000000e-02  3.182080985570037e+00
1.635000000000000e-02  3.171774294471935e+00
1.645000000000000e-02  3.182447404257883e+00
1.655000000000000e-02  3.210472192384844e+00
1.665000000000000e-02  3.252225940215715e+00
1.675000000000000e-02  3.304155201691974e+00
1.685000000000000e-02  3.362833819570222e+00
1.695000000000000e-02  3.425014465152916e+00
1.705000000000000e-02  3.487673237842273e+00
1.715000000000000e-02  3.548047018183479e+00
1.725000000000000e-02  3.603663419783538e+00
1.735000000000000e-02  3.652363329309216e+00
1.745000000000000e-02  3.692316157687996e+00
1.755000000000000e-02  3.722028047973442e+00
1.765000000000000e-02  3.740343394721811e+00
1.775000000000000e-02  3.746440125111000e+00
1.785000000000000e-02  3.739819272684467e+00
1.795000000000000e-02  3.720289440099266e+00
1.805000000000000e-02  3.687946797473704e+00
1.815000000000000e-02  3.643151298019567e+00
1.825000000000000e-02  3.586499813018747e+00
1.835000000000000e-02  3.518796894510027e+00
1.845000000000000e-02  3.441023867141611e+00
1.855000000000000e-02  3.354306931550015e+00
1.865000000000000e-02  3.259884931525230e+00
1.875000000000000e-02  3.159077397412657e+00
1.885000000000000e-02  3.053253430066916e+00
1.895000000000000e-02  2.943801934651339e+00
1.905000000000000e-02  2.832103653134964e+00
1.915000000000000e-02  2.719505379941269e+00
1.925000000000000e-02  2.607296678286935e+00
1.935000000000000e-02  2.496689346699585e+00
1.945000000000000e-02  2.388799817333716e+00
1.955000000000000e-02  2.284634601234656e+00
1.965000000000000e-02  2.185078831743543e+00
1.975000000000000e-02  2.090887896785139e+00
1.985000000000000e-02  2.002682094695539e+00
1.995000000000000e-02  1.920944197252745e+00
2.005000000000000e-02  1.846019758252083e+00
2.015000000000000e-02  1.778119966760018e+00
2.025000000000000e-02  1.717326811382618e+00
2.035000000000000e-02  1.663600295659953e+00
2.045000000000000e-02  1.616787425075095e+00
2.055000000000000e-02  1.576632673053549e+00
2.065000000000000e-02  1.542789626520081e+00
2.075000000000000e-02  1.514833510767763e+00
2.085000000000000e-02  1.492274298181820e+00
2.095000000000000e-02  1.474570115276137e+00
2.105000000000000e-02  1.461140677007865e+00
2.115000000000000e-02  1.451380495852396e+00
2.125000000000000e-02  1.444671635029456e+00
2.135000000000000e-02  1.440395799932989e+00
2.145000000000000e-02  1.437945588587097e+00
2.155000000000000e-02  1.436734750186777e+00
2.165000000000000e-02  1.436207329861122e+00
2.175000000000000e-02  1.435845607120361e+00
2.185000000000000e-02  1.435176764455260e+00
2.195000000000000e-02  1.433778250730412e+00
2.205000000000000e-02  1.431281830885273e+00
2.215000000000000e-02  1.427376338617585e+00
2.225000000000000e-02  1.421809171822152e+00
2.235000000000000e-02  1.414386591305306e+00
2.245000000000000e-02  1.404972901466547e+00
2.255000000000000e-02  1.393488607072168e+00
2.265000000000000e-02  1.379907652841529e+00
2.275000000000000e-02  1.364253862285383e+00
2.285000000000000e-02  1.346596699093874e+00
2.295000000000000e-02  1.327046478438746e+00
2.305000000000000e-02  1.305749156946629e+00
2.315000000000000e-02  1.282880828976691e+00
2.325000000000000e-02  1.258642053391693e+00
2.335000000000000e-02  1.233252129471867e+00
2.345000000000000e-02  1.206943433235212e+00
2.355000000000000e-02  1.179955916462708e+00
2.365000000000000e-02  1.152531860460863e+00
2.375000000000000e-02  1.124910965310299e+00
2.385000000000000e-02  1.097325843331622e+00
2.395000000000000e-02  1.069997973025538e+00
2.405000000000000e-02  1.043134157081071e+00
2.415000000000000e-02  1.016923515445520e+00
2.425000000000000e-02  9.915350321467177e-01
2.435000000000000e-02  9.671156627639960e-01
2.445000000000000e-02  9.437889983471147e-01
2.455000000000000e-02  9.216544713436803e-01
2.465000000000000e-02  9.007870798496526e-01
2.475000000000000e-02  8.812375983505518e-01
2.485000000000000e-02  8.630332361507649e-01
2.495000000000000e-02  8.461786989452469e-01
2.505000000000000e-02  8.306576044952485e-01
2.515000000000000e-02  8.164342001255115e-01
2.525000000000000e-02  8.034553277390879e-01
2.535000000000000e-02  7.916525812004063e-01
2.545000000000000e-02  7.809446012012292e-01
2.555000000000000e-02  7.712394540149168e-01
2.565000000000000e-02  7.624370427652926e-01
2.575000000000000e-02  7.544315028798119e-01
2.585000000000000e-02  7.471135371467059e-01
2.595000000000000e-02  7.403726501311086e-01
2.605000000000000e-02  7.340992465017513e-01
2.615000000000000e-02  7.281865629534975e-01
2.625000000000000e-02  7.225324087597561e-01
2.635000000000000e-02  7.170406954350879e-01
2.645000000000000e-02  7.116227414208811e-01
2.655000000000000e-02  7.061983430226654e-01
2.665000000000000e-02  7.006966079327205e-01
2.675000000000000e-02  6.950565524830628e-01
2.685000000000000e-02  6.892274682200294e-01
2.695000000000000e-02  6.831690674130338e-01
2.705000000000000e-02  6.768514206593378e-01
2.715000000000000e-02  6.702547027892283e-01
2.725000000000000e-02  6.633687657891743e-01
2.735000000000000e-02  6.561925594335751e-01
2.745000000000000e-02  6.487334217491131e-01
2.755000000000000e-02  6.410062623402074e-01
2.765000000000000e-02  6.330326619999466e-01
2.775000000000000e-02  6.248399119467670e-01
2.785000000000000e-02  6.164600154990578e-01
2.795000000000000e-02  6.079286740695860e-01
2.805000000000000e-02  5.992842780761589e-01
2.815000000000000e-02  5.905669217743654e-01
2.825000000000000e-02  5.818174591754175e-01
2.835000000000000e-02  5.730766161707456e-01
2.845000000000000e-02  5.643841717989738e-01
2.855000000000000e-02  5.557782193129785e-01
2.865000000000000e-02  5.472945153857665e-01
2.875000000000000e-02  5.389659234818429e-01
2.885000000000000e-02  5.308219551600158e-01
2.895000000000000e-02  5.228884109043909e-01
2.905000000000000e-02  5.151871200382718e-01
2.915000000000000e-02  5.077357773912397e-01
2.925000000000000e-02  5.005478726881651e-01
2.935000000000000e-02  4.936327071301387e-01
2.945000000000000e-02  4.869954903557575e-01
2.955000000000000e-02  4.806375099160874e-01
2.965000000000000e-02  4.745563645719834e-01
2.975000000000000e-02  4.687462521276082e-01
2.985000000000000e-02  4.631983021437587e-01
2.995000000000000e-02  4.579009437197774e-01
