<X>                    <Y>
4.355267928859024e+02  1.429538626457378e-07
4.400366857411836e+02  2.301355283469828e-07
4.445465785964648e+02  3.670761341860158e-07
4.490564714517461e+02  5.801139803520350e-07
4.535663643070272e+02  9.083541770666623e-07
4.580762571623085e+02  1.409229762775641e-06
4.625861500175897e+02  2.166172806194896e-06
4.670960428728709e+02  3.299051502168089e-06
4.716059357281521e+02  4.978170820115695e-06
4.761158285834333e+02  7.442780268398256e-06
4.806257214387145e+02  1.102517022982996e-05
4.851356142939958e+02  1.618154976764580e-05
4.896455071492770e+02  2.353095894931001e-05
4.941554000045582e+02  3.390344597423559e-05
4.986652928598394e+02  4.839859587184647e-05
5.031751857151206e+02  6.845519079704503e-05
5.076850785704019e+02  9.593226792643175e-05
5.121949714256830e+02  1.332010785963813e-04
5.167048642809643e+02  1.832464098686606e-04
5.212147571362455e+02  2.497743925171977e-04
5.257246499915267e+02  3.373222988504936e-04
5.302345428468079e+02  4.513639763066933e-04
5.347444357020892e+02  5.984025582477603e-04
5.392543285573704e+02  7.860400808980294e-04
5.437642214126515e+02  1.023011804870681e-03
5.482741142679328e+02  1.319171627851955e-03
5.527840071232140e+02  1.685414253554500e-03
5.572938999784952e+02  2.133520038073610e-03
5.618037928337765e+02  2.675909942443851e-03
5.663136856890576e+02  3.325301005444275e-03
5.708235785443388e+02  4.094257351415613e-03
5.753334713996201e+02  4.994637973476473e-03
5.798433642549013e+02  6.036950228434796e-03
5.843532571101825e+02  7.229626802294296e-03
5.888631499654637e+02  8.578253313899427e-03
5.933730428207449e+02  1.008478299510696e-02
5.978829356760261e+02  1.174678315110180e-02
6.023928285313074e+02  1.355676441735780e-02
6.069027213865886e+02  1.550164725257462e-02
6.114126142418697e+02  1.756241981510427e-02
6.159225070971510e+02  1.971403676229735e-02
6.204323999524322e+02  2.192559931187517e-02
6.249422928077134e+02  2.416084324268744e-02
6.294521856629947e+02  2.637894397260315e-02
6.339620785182758e+02  2.853562746989576e-02
6.384719713735570e+02  3.058455396726124e-02
6.429818642288383e+02  3.247891998516424e-02
6.474917570841195e+02  3.417320490815639e-02
6.520016499394007e+02  3.562497313039879e-02
6.565115427946819e+02  3.679663319818468e-02
6.610214356499631e+02  3.765705261424800e-02
6.655313285052443e+02  3.818293165056142e-02
6.700412213605256e+02  3.835985160003507e-02
6.745511142158068e+02  3.818293165056142e-02
6.790610070710879e+02  3.765705261424801e-02
6.835708999263692e+02  3.679663319818470e-02
6.880807927816504e+02  3.562497313039879e-02
6.925906856369317e+02  3.417320490815639e-02
6.971005784922129e+02  3.247891998516424e-02
7.016104713474940e+02  3.058455396726130e-02
7.061203642027754e+02  2.853562746989576e-02
7.106302570580565e+02  2.637894397260315e-02
7.151401499133377e+02  2.416084324268744e-02
7.196500427686190e+02  2.192559931187517e-02
7.241599356239001e+02  1.971403676229741e-02
7.286698284791814e+02  1.756241981510427e-02
7.331797213344626e+02  1.550164725257462e-02
7.376896141897438e+02  1.355676441735780e-02
7.421995070450250e+02  1.174678315110180e-02
7.467093999003062e+02  1.008478299510700e-02
7.512192927555875e+02  8.578253313899427e-03
7.557291856108686e+02  7.229626802294296e-03
7.602390784661499e+02  6.036950228434796e-03
7.647489713214311e+02  4.994637973476473e-03
7.692588641767122e+02  4.094257351415635e-03
7.737687570319936e+02  3.325301005444275e-03
7.782786498872747e+02  2.675909942443851e-03
7.827885427425559e+02  2.133520038073610e-03
7.872984355978372e+02  1.685414253554500e-03
7.918083284531183e+02  1.319171627851963e-03
7.963182213083996e+02  1.023011804870681e-03
8.008281141636808e+02  7.860400808980294e-04
8.053380070189620e+02  5.984025582477603e-04
8.098478998742432e+02  4.513639763066933e-04
8.143577927295244e+02  3.373222988504960e-04
8.188676855848057e+02  2.497743925171977e-04
8.233775784400868e+02  1.832464098686606e-04
8.278874712953681e+02  1.332010785963823e-04
8.323973641506493e+02  9.593226792643175e-05
8.369072570059304e+02  6.845519079704564e-05
8.414171498612118e+02  4.839859587184647e-05
8.459270427164929e+02  3.390344597423571e-05
8.504369355717741e+02  2.353095894931014e-05
8.549468284270554e+02  1.618154976764580e-05
8.594567212823365e+02  1.102517022983008e-05
8.639666141376179e+02  7.442780268398256e-06
8.684765069928990e+02  4.978170820115720e-06
8.729863998481802e+02  3.299051502168106e-06
8.774962927034614e+02  2.166172806194896e-06
8.820061855587426e+02  1.409229762775656e-06
8.865160784140239e+02  9.083541770666623e-07
8.910259712693050e+02  5.801139803520390e-07
8.955358641245863e+02  3.670761341860178e-07
9.000457569798675e+02  2.301355283469828e-07
9.045556498351488e+02  1.429538626457378e-07
